     h  k l FREE  FP    SIGFP FCalc PHICalc 
36  -31 1 1  1    75.19 3.84  56.00  2.82    
37  -31 1 5  1    45.85 6.85  54.52  0.39    
38  -31 1 6  1    55.46 5.78  60.64  1.49    
39  -31 1 7  1    32.06 9.11  57.38  3.12    
40  -31 1 8  1    14.92 19.11 34.38  -0.01   
41  -31 1 9  1    20.60 9.96  30.95  3.01    
42  -31 1 10 0    28.83 12.91 2.60   -2.98   
43  -31 1 11 1    37.22 7.12  30.78  -1.17   
44  -31 1 14 1    8.96  22.48 25.63  2.81    
45  -31 2 1  1    39.09 5.74  37.10  -1.87   
46  -31 2 2  1    33.36 9.61  46.51  -2.60   
47  -31 2 3  1    29.08 11.11 62.30  2.67    
48  -31 2 4  1    42.81 6.23  42.43  -2.28   
49  -31 2 5  1    37.09 5.78  60.21  -0.87   
50  -31 2 6  0    36.20 6.95  46.99  -2.30   
51  -31 2 7  1    40.46 7.28  62.48  -1.82   
52  -31 2 8  1    36.83 6.84  25.76  3.11    
53  -31 2 9  1    48.67 5.07  32.58  1.34    
54  -31 2 10 1    47.50 6.05  49.57  -2.32   
55  -31 2 11 0    28.13 7.45  34.48  1.36    
56  -31 2 13 1    49.62 5.17  76.07  1.36    
57  -31 3 1  1    38.67 8.43  30.74  1.04    
58  -31 3 3  1    3.87  66.00 32.24  1.32    
59  -31 3 4  1    14.18 16.34 26.75  2.67    
60  -31 3 5  1    21.17 11.88 34.62  0.27    
61  -31 3 6  1    34.06 6.36  71.46  0.16    
62  -31 3 7  1    25.82 9.49  19.77  -1.11   
63  -31 3 8  1    23.32 10.15 42.15  0.66    
64  -31 3 11 1    19.63 13.50 29.14  2.75    
65  -31 3 12 1    41.34 6.19  35.54  -0.35   
66  -31 3 14 1    52.91 4.56  58.18  -2.06   
67  -31 4 2  1    26.03 9.38  35.35  2.51    
68  -31 4 3  1    11.71 21.66 19.27  -0.77   
69  -31 4 9  1    36.68 6.15  36.21  -2.72   
70  -31 4 10 1    41.08 5.53  51.15  2.26    
71  -31 4 11 1    21.62 10.46 14.67  -0.06   
72  -31 4 13 1    28.35 8.54  32.40  2.18    
73  -31 5 1  1    40.12 5.29  34.98  -0.71   
74  -31 5 2  1    21.85 14.22 13.81  -1.19   
75  -31 5 4  1    13.78 21.32 42.93  1.75    
76  -31 5 5  1    29.36 9.94  33.89  2.53    
77  -31 5 6  1    40.04 6.11  55.50  2.05    
78  -31 5 8  1    26.16 10.52 27.40  2.46    
79  -31 5 9  1    66.31 4.07  64.59  0.44    
80  -31 5 10 0    14.00 17.79 26.81  -3.08   
81  -31 5 11 1    27.23 8.06  19.95  0.39    
82  -31 5 12 1    12.36 16.62 23.90  0.22    
83  -31 5 13 1    38.84 3.74  65.11  0.04    
84  -31 6 1  1    9.40  28.50 27.09  1.74    
85  -31 6 2  1    36.68 8.06  53.89  -0.45   
86  -31 6 3  1    32.44 6.63  20.24  -1.76   
87  -31 6 5  1    52.99 5.42  73.91  -0.91   
88  -31 6 6  1    31.95 7.91  42.64  -2.37   
89  -31 6 7  1    41.94 5.78  43.50  -1.89   
90  -31 6 8  1    25.52 10.28 32.90  2.29    
91  -31 6 10 1    38.04 6.62  45.99  1.38    
92  -31 6 11 1    51.88 2.81  62.93  2.81    
93  -31 6 12 1    52.47 2.51  69.36  1.44    
94  -31 7 1  0    42.65 5.50  60.51  0.06    
95  -31 7 2  1    41.23 6.95  40.05  1.16    
96  -31 7 4  1    64.45 4.24  50.58  0.77    
97  -31 7 5  0    20.74 12.57 32.96  2.01    
98  -31 7 6  1    47.94 5.59  62.59  0.32    
99  -31 7 7  1    6.68  34.15 37.57  1.75    
100 -31 7 8  1    22.51 11.35 24.91  2.16    
101 -31 7 9  0    57.90 4.44  62.22  -2.26   
102 -31 7 10 1    31.93 4.98  40.77  0.86    
103 -31 8 1  1    7.71  72.64 19.61  -0.28   
104 -31 8 2  1    23.27 10.63 20.50  -0.63   
105 -31 8 4  1    34.51 5.61  47.15  -0.27   
106 -31 8 6  1    67.21 3.79  72.27  0.10    
107 -31 8 7  1    10.82 20.22 60.09  0.96    
108 -31 8 8  1    22.45 10.73 30.28  0.77    
109 -31 8 9  1    7.79  21.04 22.27  3.05    
110 -31 8 10 1    45.64 3.06  42.42  -1.25   
111 -31 9 1  1    44.30 6.32  65.10  -1.85   
112 -31 9 2  0    43.44 4.58  53.88  -1.61   
113 -31 9 3  1    22.02 11.88 39.61  -2.20   
114 -31 9 6  1    43.28 3.93  47.29  -2.18   
115 -31 9 7  1    10.30 13.30 8.56   -0.66   
116 -31 9 8  1    11.13 12.88 14.01  -2.92   
117 -30 0 1  1    27.32 12.24 0.70   3.14    
118 -30 0 7  1    12.14 34.20 40.94  0.00    
119 -30 0 8  1    19.66 21.47 41.96  3.14    
120 -30 0 14 1    15.24 21.61 4.53   0.00    
121 -30 1 1  1    25.32 12.50 33.67  0.54    
122 -30 1 2  1    14.07 19.01 20.68  -1.32   
123 -30 1 3  1    22.21 11.47 47.92  -1.44   
124 -30 1 4  1    21.18 11.77 30.93  -2.95   
125 -30 1 7  1    74.28 3.98  74.41  0.53    
126 -30 1 9  1    35.87 7.91  42.33  0.56    
127 -30 1 10 1    19.49 14.35 74.78  0.72    
128 -30 1 11 1    20.94 12.38 3.58   0.32    
129 -30 1 12 1    25.54 8.55  20.93  -0.38   
130 -30 1 13 1    27.18 9.15  3.81   0.35    
131 -30 1 14 1    42.67 5.69  39.89  0.02    
132 -30 1 15 1    48.64 4.86  44.14  -1.58   
133 -30 1 16 1    56.19 3.58  68.05  2.55    
134 -30 1 17 1    19.60 11.27 33.54  -2.66   
135 -30 2 2  0    27.82 8.82  50.26  0.12    
136 -30 2 3  1    23.34 11.84 62.43  0.09    
137 -30 2 4  1    31.11 10.18 46.24  0.46    
138 -30 2 6  1    76.99 4.20  96.07  1.55    
139 -30 2 7  1    47.65 6.32  57.77  -0.31   
140 -30 2 8  1    53.05 5.60  21.86  2.66    
141 -30 2 9  0    48.31 7.06  36.56  -0.91   
142 -30 2 10 0    52.44 4.43  48.45  -0.99   
143 -30 2 11 1    37.33 7.10  37.59  -0.19   
144 -30 2 12 1    46.61 5.53  43.67  2.81    
145 -30 2 13 0    25.44 9.92  44.57  -1.41   
146 -30 2 14 1    24.14 8.36  6.09   -0.22   
147 -30 2 15 1    31.40 7.25  30.13  -1.06   
148 -30 2 17 1    17.50 6.25  21.55  2.61    
149 -30 3 2  1    12.21 25.48 28.19  -0.72   
150 -30 3 4  1    51.23 5.15  60.63  -1.49   
151 -30 3 6  1    78.67 4.20  116.92 -2.81   
152 -30 3 7  1    72.32 4.32  71.56  2.24    
153 -30 3 8  1    26.83 10.75 36.04  -1.78   
154 -30 3 9  0    24.57 11.48 26.28  1.88    
155 -30 3 12 1    29.18 12.00 29.77  0.00    
156 -30 3 13 1    64.98 3.45  66.07  1.38    
157 -30 3 14 1    22.08 11.14 36.16  0.09    
158 -30 3 15 1    26.40 4.83  32.59  1.55    
159 -30 3 16 1    38.78 3.08  38.34  -0.98   
160 -30 3 17 1    20.47 4.02  21.87  -0.75   
161 -30 4 1  1    56.41 5.89  77.44  0.84    
162 -30 4 5  1    18.53 13.64 46.09  -1.71   
163 -30 4 6  1    38.19 6.04  29.01  -0.17   
164 -30 4 8  1    35.15 7.99  49.37  -1.61   
165 -30 4 9  1    70.89 4.11  63.49  0.38    
166 -30 4 11 1    33.69 6.65  40.26  -1.51   
167 -30 4 12 1    27.58 6.83  26.96  -2.99   
168 -30 4 13 1    23.10 6.08  23.28  -2.03   
169 -30 4 14 1    12.67 10.66 28.12  0.98    
170 -30 4 15 1    5.04  25.84 26.13  0.51    
171 -30 4 16 1    34.38 3.55  52.29  1.13    
172 -30 4 17 1    45.13 2.23  63.38  -0.15   
173 -30 5 1  1    16.54 14.55 48.02  -2.67   
174 -30 5 2  1    37.41 9.87  43.38  -2.89   
175 -30 5 4  1    32.94 8.71  17.62  -2.33   
176 -30 5 5  1    15.78 16.31 6.36   1.62    
177 -30 5 6  1    51.67 4.85  54.27  -0.68   
178 -30 5 8  1    9.80  28.06 12.44  -1.68   
179 -30 5 11 1    58.10 2.28  41.10  0.76    
180 -30 5 12 1    26.62 4.57  28.64  3.08    
181 -30 5 13 1    15.33 7.39  22.90  3.10    
182 -30 5 14 1    32.31 4.48  34.64  -1.88   
183 -30 5 15 1    53.17 2.79  61.26  -2.79   
184 -30 5 16 1    33.65 3.96  25.44  -1.85   
185 -30 6 1  1    5.08  59.12 14.08  2.65    
186 -30 6 3  1    19.19 10.77 20.45  -3.11   
187 -30 6 4  1    57.81 3.92  44.74  0.99    
188 -30 6 5  1    26.71 7.80  7.88   1.13    
189 -30 6 6  1    85.34 3.33  71.47  1.52    
190 -30 6 7  1    29.82 9.31  37.83  -0.51   
191 -30 6 8  1    14.68 32.84 29.81  2.25    
192 -30 6 9  1    19.96 12.72 34.87  0.42    
193 -30 6 10 1    46.27 3.59  55.55  -2.88   
194 -30 6 11 1    43.19 3.93  61.41  -0.90   
195 -30 6 12 1    13.12 10.71 40.82  -1.35   
196 -30 6 13 1    31.54 4.32  32.96  -2.52   
197 -30 6 14 1    28.78 4.00  38.86  2.58    
198 -30 6 15 1    48.61 3.14  61.28  1.93    
199 -30 6 16 1    16.79 7.08  15.13  1.86    
200 -30 7 1  1    21.04 10.13 9.10   -0.40   
    
