h   k l  FREE FP   SIGFP FC   PHIC FC_ALL PHIC_ALL FWT    PHWT DELFWT PHDELWT FOM  FC_ALL_LS PHIC_ALL_LS 
38  -31 1 6  1    57.52 6.00  58.88  1.48 53.95  1.48     57.01  1.48 3.05   1.48    0.96 59.79     1.49        
39  -31 1 7  1    33.25 9.44  55.95  3.12 51.28  3.12     9.81   3.12 41.47  6.26    0.92 56.21     3.11        
40  -31 1 8  1    15.48 19.82 33.50  6.27 30.71  6.27     18.69  3.13 49.41  3.13    0.39 33.42     6.27        
41  -31 1 9  1    21.37 10.33 30.24  3.02 27.74  3.02     3.32   3.02 24.42  6.16    0.73 30.44     3.02        
42  -31 1 10 0    29.90 13.39 2.63   3.36 2.41   3.36     2.41   3.36 0.00   0.00    0.00 2.65      3.75        
43  -31 1 11 1    38.60 7.39  30.07  5.11 27.42  5.11     41.51  5.11 14.10  5.11    0.89 30.07     5.09        
44  -31 1 14 1    9.29  23.32 25.07  2.82 22.32  2.82     19.63  5.96 41.94  5.96    0.14 25.75     2.81        
45  -31 2 1  1    40.54 5.95  36.02  4.41 33.01  4.41     41.37  4.41 8.35   4.41    0.92 36.18     4.41        
46  -31 2 2  1    34.60 9.97  45.37  3.68 41.58  3.68     20.51  3.68 21.07  0.54    0.90 45.09     3.69        
47  -31 2 3  1    30.16 11.52 60.72  2.67 55.63  2.67     1.29   5.81 56.93  5.81    0.90 61.01     2.67        
48  -31 2 4  1    44.40 6.47  41.51  4.00 38.03  4.00     44.69  4.00 6.65   4.00    0.93 41.20     3.99        
49  -31 2 5  1    38.46 6.00  58.45  5.41 53.56  5.41     19.22  5.41 34.34  2.27    0.95 58.81     5.41        
50  -31 2 6  0    37.54 7.20  45.96  3.98 42.12  3.98     42.12  3.98 0.00   0.00    0.00 46.23     3.99        
51  -31 2 7  1    41.96 7.55  60.81  4.46 55.75  4.46     23.92  4.46 31.83  1.32    0.95 60.27     4.46        
52  -31 2 8  1    38.19 7.10  25.04  3.11 22.97  3.11     43.04  3.11 20.07  3.11    0.86 25.01     3.11        
53  -31 2 9  1    50.48 5.26  31.86  1.34 29.23  1.34     65.02  1.34 35.79  1.34    0.93 32.01     1.33        
54  -31 2 10 1    49.27 6.28  48.26  3.96 44.21  3.96     49.78  3.96 5.58   3.96    0.95 48.24     3.96        
55  -31 2 11 0    29.17 7.73  33.69  1.36 30.67  1.36     30.67  1.36 0.00   0.00    0.00 33.73     1.37        
56  -31 2 13 1    51.47 5.36  74.01  1.36 66.37  1.36     33.63  1.36 32.73  4.50    0.97 73.92     1.36        
57  -31 3 1  1    40.11 8.74  30.06  1.04 27.56  1.04     42.96  1.04 15.40  1.04    0.88 29.32     1.03        
58  -31 3 3  1    4.01  68.45 31.55  1.31 28.91  1.31     28.82  4.45 57.73  4.45    0.01 31.66     1.29        
59  -31 3 4  1    14.70 16.95 25.82  2.66 23.66  2.66     13.35  5.81 37.01  5.81    0.35 25.36     2.66        
60  -31 3 5  1    21.95 12.32 33.86  0.27 31.04  0.27     0.16   0.27 30.88  3.41    0.71 33.96     0.29        
61  -31 3 6  1    35.33 6.60  69.90  0.16 64.08  0.16     3.11   0.16 60.98  3.30    0.95 69.38     0.16        
62  -31 3 7  1    26.77 9.84  19.31  5.19 17.71  5.19     17.55  5.19 0.16   2.05    0.66 18.66     5.20        
63  -31 3 8  1    24.19 10.52 41.09  0.66 37.70  0.66     2.51   0.66 35.18  3.80    0.83 41.23     0.67        
64  -31 3 11 1    20.36 14.00 28.49  2.75 25.87  2.75     1.78   5.89 27.65  5.89    0.59 28.11     2.76        
65  -31 3 12 1    42.88 6.42  34.28  5.93 30.91  5.93     47.99  5.93 17.09  5.93    0.92 34.60     5.93        
66  -31 3 14 1    54.88 4.73  56.85  4.23 50.38  4.23     55.55  4.23 5.17   4.23    0.97 56.88     4.22        
67  -31 4 2  1    26.99 9.72  34.51  2.51 31.64  2.51     12.97  2.51 18.68  5.65    0.83 34.00     2.51        
68  -31 4 3  1    12.15 22.47 18.66  5.51 17.10  5.51     13.41  2.37 30.52  2.37    0.15 18.25     5.53        
69  -31 4 9  1    38.04 6.38  35.26  3.56 32.26  3.56     37.39  3.56 5.13   3.56    0.92 35.56     3.56        
70  -31 4 10 1    42.61 5.74  49.90  2.26 45.42  2.26     35.47  2.26 9.95   5.40    0.95 49.97     2.26        
71  -31 4 11 1    22.42 10.85 14.16  6.22 12.81  6.22     7.71   6.22 5.09   3.08    0.46 14.54     6.22        
72  -31 4 13 1    29.41 8.86  31.50  2.17 28.07  2.17     21.06  2.17 7.01   5.32    0.84 31.13     2.18        
73  -31 5 1  1    41.61 5.49  34.02  5.57 31.21  5.57     45.70  5.57 14.48  5.57    0.92 34.00     5.57        
74  -31 5 2  1    22.66 14.75 13.62  5.11 12.50  5.11     3.34   5.11 9.15   1.96    0.35 13.82     5.10        
75  -31 5 4  1    14.29 22.11 41.79  1.76 38.33  1.76     27.28  4.90 65.61  4.90    0.39 41.64     1.77        
76  -31 5 5  1    30.45 10.31 32.94  2.54 30.22  2.54     20.76  2.54 9.47   5.68    0.84 33.28     2.54        
77  -31 5 6  1    41.52 6.34  53.80  2.05 49.37  2.05     29.51  2.05 19.85  5.19    0.95 53.45     2.05        
78  -31 5 8  1    27.14 10.91 26.72  2.47 24.44  2.47     16.47  2.47 7.97   5.61    0.75 26.84     2.46        
79  -31 5 9  1    68.77 4.22  62.96  0.45 57.33  0.45     77.09  0.45 19.76  0.45    0.98 62.68     0.43        
80  -31 5 10 0    14.52 18.45 26.25  3.19 23.78  3.19     23.78  3.19 0.00   0.00    0.00 26.47     3.17        
81  -31 5 11 1    28.24 8.36  19.26  0.40 17.34  0.40     23.07  0.40 5.74   0.40    0.72 18.91     0.39        
82  -31 5 12 1    12.82 17.24 23.20  0.22 20.74  0.22     13.64  3.36 34.37  3.36    0.28 23.18     0.24        
83  -31 5 13 1    40.28 3.88  63.30  0.03 56.13  0.03     21.12  0.03 35.01  3.18    0.96 63.29     0.03        
84  -31 6 1  1    9.75  29.55 26.50  1.73 24.21  1.73     22.00  4.88 46.21  4.88    0.11 26.25     1.74        
85  -31 6 2  1    38.04 8.36  52.34  5.84 47.93  5.84     23.26  5.84 24.66  2.70    0.94 52.45     5.83        
86  -31 6 3  1    33.65 6.88  19.56  4.53 17.93  4.53     36.38  4.53 18.45  4.53    0.81 19.35     4.51        
87  -31 6 5  1    54.96 5.62  71.98  5.37 65.95  5.37     41.07  5.37 24.88  2.23    0.97 71.65     5.38        
88  -31 6 6  1    33.14 8.21  41.33  3.91 37.81  3.91     22.20  3.91 15.61  0.77    0.91 41.41     3.91        
89  -31 6 7  1    43.50 5.99  42.37  4.39 38.66  4.39     43.17  4.39 4.51   4.39    0.94 42.67     4.39        
90  -31 6 8  1    26.47 10.66 31.95  2.29 29.05  2.29     13.08  2.29 15.98  5.43    0.80 31.90     2.29        
91  -31 6 10 1    39.45 6.87  44.75  1.38 40.30  1.38     33.22  1.38 7.08   4.52    0.93 44.86     1.38        
92  -31 6 11 1    53.81 2.91  61.41  2.80 54.96  2.80     49.47  2.80 5.49   5.95    0.97 61.27     2.80        
93  -31 6 12 1    54.41 2.60  67.70  1.44 60.16  1.44     45.77  1.44 14.39  4.58    0.97 67.51     1.44        
94  -31 7 1  0    44.24 5.70  58.89  0.06 53.44  0.06     53.44  0.06 0.00   0.00    0.00 59.01     0.05        
95  -31 7 2  1    42.77 7.21  38.93  1.16 35.40  1.16     43.93  1.16 8.53   1.16    0.93 38.69     1.15        
96  -31 7 4  1    66.85 4.40  49.21  0.77 44.81  0.77     84.85  0.77 40.05  0.77    0.97 49.05     0.77        
97  -31 7 5  0    21.51 13.04 32.19  2.01 29.29  2.01     29.29  2.01 0.00   0.00    0.00 32.43     2.02        
98  -31 7 6  1    49.72 5.80  61.15  0.32 55.55  0.32     40.35  0.32 15.20  3.47    0.96 61.57     0.32        
99  -31 7 7  1    6.92  35.41 36.73  1.75 33.28  1.75     32.16  4.89 65.44  4.89    0.08 36.16     1.74        
100 -31 7 8  1    23.35 11.77 24.39  2.16 22.03  2.16     8.11   2.16 13.92  5.30    0.65 24.13     2.16        
101 -31 7 9  0    60.05 4.60  60.71  4.03 54.58  4.03     54.58  4.03 0.00   0.00    0.00 60.73     4.03        
102 -31 7 10 1    33.12 5.17  39.60  0.86 35.41  0.86     25.18  0.86 10.23  4.00    0.91 39.88     0.86        
103 -31 8 1  1    8.00  75.34 19.13  6.00 17.22  6.00     17.03  2.86 34.25  2.86    0.01 19.22     5.99        
104 -31 8 2  1    24.14 11.02 20.18  5.64 18.20  5.64     11.20  5.64 7.00   2.50    0.61 19.56     5.63        
105 -31 8 4  1    35.79 5.81  45.74  6.01 41.32  6.01     25.38  6.01 15.94  2.87    0.93 45.62     6.01        
106 -31 8 6  1    69.71 3.93  70.25  0.10 63.31  0.10     73.29  0.10 9.98   0.10    0.98 70.42     0.10        
107 -31 8 7  1    11.22 20.97 58.53  0.96 52.61  0.96     42.75  4.11 95.36  4.11    0.44 58.99     0.97        
108 -31 8 8  1    23.29 11.13 29.53  0.76 26.46  0.76     7.09   0.76 19.36  3.90    0.72 29.47     0.75        
109 -31 8 9  1    8.08  21.82 21.58  3.05 19.24  3.05     17.30  6.19 36.54  6.19    0.12 21.44     3.04        
110 -31 8 10 1    47.33 3.18  41.33  5.03 36.67  5.03     53.05  5.03 16.39  5.03    0.95 41.58     5.02        
111 -31 9 1  1    45.94 6.56  63.31  4.43 56.47  4.43     31.65  4.43 24.82  1.29    0.96 63.24     4.43        
112 -31 9 2  0    45.06 4.75  52.35  4.67 46.79  4.67     46.79  4.67 0.00   0.00    0.00 52.41     4.67        
113 -31 9 3  1    22.84 12.32 38.50  4.08 34.45  4.08     0.48   4.08 33.98  0.94    0.76 38.66     4.07        
114 -31 9 6  1    44.89 4.07  46.08  4.10 41.15  4.10     44.12  4.10 2.97   4.10    0.95 45.81     4.10        
115 -31 9 7  1    10.68 13.79 8.27   5.58 7.37   5.58     5.02   2.44 12.38  2.44    0.11 8.07      5.57        
116 -31 9 8  1    11.55 13.35 13.89  3.37 12.33  3.37     7.66   0.23 19.99  0.23    0.20 14.00     3.37        
117 -30 0 1  1    28.33 12.70 0.50   3.14 0.48   3.14     0.73   3.14 0.25   3.14    0.02 0.03      6.28        
118 -30 0 7  1    12.59 35.47 40.17  0.00 38.60  6.28     31.68  3.14 70.28  3.14    0.27 39.94     6.28        
119 -30 0 8  1    20.39 22.27 40.89  3.14 39.31  3.14     11.25  0.00 50.56  0.00    0.69 39.20     3.14        
120 -30 0 14 1    15.80 22.41 4.54   0.00 4.17   6.28     1.70   3.14 5.87   3.14    0.08 4.54      6.28        
121 -30 1 1  1    26.26 12.97 32.94  0.54 31.63  0.54     5.47   0.54 26.16  3.68    0.71 31.95     0.56        
122 -30 1 2  1    14.59 19.71 19.84  4.96 19.05  4.96     12.75  1.82 31.80  1.82    0.22 19.94     4.94        
123 -30 1 3  1    23.04 11.90 46.71  4.85 44.83  4.85     8.69   1.71 53.52  1.71    0.78 45.90     4.85        
124 -30 1 4  1    21.96 12.21 30.11  3.33 28.90  3.33     1.45   0.19 30.35  0.19    0.62 29.93     3.34        
125 -30 1 7  1    77.03 4.12  72.58  0.53 69.73  0.53     80.72  0.53 10.99  0.53    0.98 72.79     0.52        
126 -30 1 9  1    37.21 8.21  41.20  0.57 39.42  0.57     27.28  0.57 12.14  3.71    0.90 41.61     0.57        
127 -30 1 10 1    20.21 14.88 73.18  0.72 69.23  0.72     35.85  3.86 105.08 3.86    0.83 73.79     0.72        
128 -30 1 11 1    21.72 12.84 3.53   0.33 3.30   0.33     0.90   0.33 2.40   3.47    0.10 3.67      0.18        
129 -30 1 12 1    26.49 8.87  20.49  5.90 18.84  5.90     16.46  5.90 2.38   2.76    0.67 21.62     5.91        
130 -30 1 13 1    28.19 9.49  3.65   0.32 3.34   0.32     6.24   0.32 2.90   0.32    0.17 3.48      0.66        
131 -30 1 14 1    44.26 5.90  38.78  0.02 35.56  0.02     47.01  0.02 11.45  0.02    0.93 38.96     0.03        
132 -30 1 15 1    50.45 5.04  43.11  4.71 39.51  4.71     56.67  4.71 17.17  4.71    0.95 43.66     4.70        
133 -30 1 16 1    58.27 3.71  66.13  2.55 59.94  2.55     53.67  2.55 6.27   5.69    0.97 66.90     2.55        
134 -30 1 17 1    20.33 11.69 32.57  3.62 29.18  3.62     0.96   0.47 30.14  0.47    0.69 32.20     3.61        
135 -30 2 2  0    28.86 9.15  49.19  0.12 47.24  0.12     47.24  0.12 0.00   0.00    0.00 48.82     0.11        
136 -30 2 3  1    24.21 12.28 61.08  0.09 58.64  0.09     17.57  3.23 76.21  3.23    0.85 60.99     0.08        
137 -30 2 4  1    32.27 10.56 45.37  0.46 43.56  0.46     12.18  0.46 31.37  3.60    0.86 45.28     0.47        
138 -30 2 6  1    79.85 4.35  93.82  1.56 90.12  1.56     66.75  1.56 23.37  4.70    0.98 93.71     1.57        
139 -30 2 7  1    49.42 6.56  56.34  5.97 54.15  5.97     39.51  5.97 14.64  2.83    0.95 55.94     5.96        
140 -30 2 8  1    55.02 5.80  21.36  2.67 20.54  2.67     76.05  2.67 55.50  2.67    0.88 21.34     2.67        
141 -30 2 9  0    50.11 7.32  35.71  5.37 34.05  5.37     34.05  5.37 0.00   0.00    0.00 35.40     5.36        
142 -30 2 10 0    54.39 4.59  47.21  5.29 44.51  5.29     44.51  5.29 0.00   0.00    0.00 46.98     5.29        
143 -30 2 11 1    38.71 7.37  36.47  6.10 33.93  6.10     35.45  6.10 1.53   6.10    0.90 36.21     6.08        
144 -30 2 12 1    48.34 5.74  42.66  2.80 39.09  2.80     51.60  2.80 12.51  2.80    0.94 43.10     2.80        
145 -30 2 13 0    26.39 10.29 43.07  4.87 39.47  4.87     39.47  4.87 0.00   0.00    0.00 43.95     4.87        
146 -30 2 14 1    25.04 8.67  5.82   6.06 5.34   6.06     8.00   6.06 2.66   6.06    0.27 5.73      6.09        
147 -30 2 15 1    32.56 7.52  29.24  5.22 26.75  5.22     29.68  5.22 2.93   5.22    0.87 28.94     5.21        
148 -30 2 17 1    18.15 6.48  20.82  2.60 18.62  2.60     4.23   2.60 14.39  5.74    0.63 20.71     2.60        
149 -30 3 2  1    12.67 26.43 27.20  5.56 26.13  5.56     21.70  2.42 47.83  2.42    0.18 26.76     5.52        
150 -30 3 4  1    53.13 5.34  59.33  4.79 57.00  4.79     44.55  4.79 12.45  1.65    0.96 58.98     4.78        
151 -30 3 6  1    81.59 4.35  114.23 3.48 109.79 3.48     51.11  3.48 58.68  0.34    0.99 114.78    3.47        
152 -30 3 7  1    75.01 4.48  69.67  2.24 67.00  2.24     79.32  2.24 12.32  2.24    0.98 69.34     2.24        
153 -30 3 8  1    27.82 11.15 35.06  4.51 33.55  4.51     10.24  4.51 23.31  1.36    0.79 34.85     4.51        
154 -30 3 9  0    25.48 11.91 25.58  1.88 24.26  1.88     24.26  1.88 0.00   0.00    0.00 25.61     1.90        
155 -30 3 12 1    30.26 12.44 29.11  6.28 26.66  6.28     18.56  6.28 8.10   3.14    0.75 29.19     6.28        
156 -30 3 13 1    67.40 3.58  64.37  1.39 59.00  1.39     72.55  1.39 13.55  1.39    0.98 64.61     1.39        
157 -30 3 14 1    22.90 11.55 35.16  0.09 32.26  0.09     2.77   0.09 29.49  3.23    0.76 35.52     0.09        
158 -30 3 15 1    27.38 5.01  31.83  1.55 29.05  1.55     18.90  1.55 10.14  4.69    0.88 32.39     1.55        
159 -30 3 16 1    40.22 3.19  37.25  5.30 33.62  5.30     41.53  5.30 7.91   5.30    0.93 37.19     5.30        
160 -30 3 17 1    21.23 4.17  21.38  5.53 19.07  5.53     11.99  5.53 7.08   2.39    0.73 21.74     5.52        
161 -30 4 1  1    58.51 6.11  75.64  0.84 72.69  0.84     40.71  0.84 31.98  3.98    0.97 75.90     0.85        
162 -30 4 5  1    19.22 14.15 44.93  4.57 43.21  4.57     16.70  1.43 59.91  1.43    0.69 45.13     4.56        
163 -30 4 6  1    39.61 6.26  28.44  6.11 27.36  6.11     41.49  6.11 14.13  6.11    0.87 28.46     6.07        
164 -30 4 8  1    36.46 8.28  48.01  4.67 45.60  4.67     20.79  4.67 24.81  1.53    0.91 48.13     4.69        
165 -30 4 9  1    73.52 4.26  61.97  0.38 58.30  0.38     84.79  0.38 26.49  0.38    0.97 61.29     0.37        
166 -30 4 11 1    34.95 6.90  39.07  4.77 35.86  4.77     26.86  4.77 8.99   1.63    0.90 38.60     4.76        
167 -30 4 12 1    28.60 7.09  26.36  3.29 24.15  3.29     22.01  3.29 2.15   0.15    0.81 26.30     3.29        
168 -30 4 13 1    23.96 6.31  22.62  4.25 20.74  4.25     15.15  4.25 5.60   1.11    0.75 22.79     4.24        
169 -30 4 14 1    13.15 11.06 27.15  0.98 24.91  0.98     11.64  4.12 36.56  4.12    0.50 26.73     1.01        
170 -30 4 15 1    5.23  26.80 25.43  0.51 23.12  0.51     22.40  3.65 45.51  3.65    0.07 25.00     0.52        
171 -30 4 16 1    35.65 3.69  50.91  1.13 45.78  1.13     21.57  1.13 24.21  4.27    0.94 51.02     1.13        
172 -30 4 17 1    46.81 2.31  61.68  6.13 54.81  6.13     35.63  6.13 19.18  2.99    0.97 62.03     6.13        
173 -30 5 1  1    17.16 15.09 46.92  3.61 44.64  3.61     22.41  0.47 67.05  0.47    0.65 46.71     3.62        
174 -30 5 2  1    38.79 10.24 42.61  3.39 40.70  3.39     28.42  3.39 12.28  0.25    0.89 42.89     3.38        
175 -30 5 4  1    34.17 9.03  16.91  3.96 16.19  3.96     29.56  3.96 13.37  3.96    0.67 16.21     3.99        
176 -30 5 5  1    16.37 16.91 6.52   1.62 6.23   1.62     2.94   4.76 9.17   4.76    0.10 5.40      1.68        
177 -30 5 6  1    53.59 5.03  52.77  5.61 50.26  5.61     52.00  5.61 1.75   5.61    0.95 52.70     5.62        
178 -30 5 8  1    10.16 29.10 12.26  4.59 11.53  4.59     10.40  1.45 21.93  1.45    0.06 11.87     4.56        
179 -30 5 11 1    60.26 2.36  40.17  0.76 36.79  0.76     78.37  0.76 41.58  0.76    0.96 40.29     0.76        
180 -30 5 12 1    27.61 4.74  27.85  3.08 25.53  3.08     21.06  3.08 4.46   6.22    0.84 28.61     3.10        
181 -30 5 13 1    15.90 7.66  22.42  3.10 20.57  3.10     1.83   6.25 22.39  6.25    0.59 22.76     3.10        
182 -30 5 14 1    33.51 4.64  33.95  4.40 31.02  4.40     29.92  4.40 1.11   1.26    0.91 34.39     4.41        
183 -30 5 15 1    55.14 2.89  59.54  3.49 53.86  3.49     53.24  3.49 0.62   0.35    0.97 59.38     3.49        
184 -30 5 16 1    34.90 4.11  24.72  4.43 22.12  4.43     38.83  4.43 16.71  4.43    0.87 24.77     4.44        
185 -30 6 1  1    5.27  61.31 13.45  2.65 12.64  2.65     12.56  5.79 25.20  5.79    0.01 13.33     2.63        
186 -30 6 3  1    19.90 11.16 19.76  3.19 18.69  3.19     0.53   3.19 18.16  0.04    0.48 19.73     3.19        
187 -30 6 4  1    59.96 4.07  43.76  0.99 41.39  0.99     72.87  0.99 31.48  0.99    0.95 43.86     1.01        
188 -30 6 5  1    27.70 8.08  7.58   1.14 7.15   1.14     11.54  1.14 4.39   1.14    0.34 8.02      1.11        
189 -30 6 6  1    88.51 3.45  69.59  1.52 65.47  1.52     108.14 1.52 42.66  1.52    0.98 69.31     1.52        
190 -30 6 7  1    30.93 9.65  36.67  5.78 34.31  5.78     17.89  5.78 16.42  2.63    0.84 36.64     5.75        
191 -30 6 8  1    15.23 34.06 29.28  2.25 27.19  2.25     22.61  5.39 49.80  5.39    0.15 29.78     2.24        
192 -30 6 9  1    20.70 13.19 34.22  0.42 31.48  0.42     4.36   3.56 35.85  3.56    0.65 34.75     0.42        
193 -30 6 10 1    47.99 3.72  54.28  3.40 49.71  3.40     42.12  3.40 7.59   0.26    0.96 54.58     3.40        
194 -30 6 11 1    44.80 4.07  60.00  5.38 54.99  5.38     30.99  5.38 23.99  2.24    0.96 59.80     5.37        
195 -30 6 12 1    13.61 11.11 39.71  4.94 36.42  4.94     18.90  1.80 55.32  1.80    0.64 39.42     4.94        
196 -30 6 13 1    32.72 4.48  32.18  3.76 29.50  3.76     29.60  3.76 0.10   3.76    0.90 32.28     3.77        
197 -30 6 14 1    29.85 4.15  37.92  2.58 34.45  2.58     19.86  2.58 14.59  5.72    0.91 37.45     2.59        
198 -30 6 15 1    50.41 3.25  59.56  1.93 53.57  1.93     43.98  1.93 9.59   5.07    0.97 59.80     1.93        
199 -30 6 16 1    17.41 7.35  14.90  1.87 13.26  1.87     2.92   1.87 10.33  5.01    0.46 15.06     1.90        
200 -30 7 1  1    21.82 10.51 9.00   5.88 8.34   5.88     3.96   5.88 4.38   2.74    0.28 9.11      5.91        
    
